Proper Noun;Type of Proper Noun;Order of Occurrence in Doc;Brevid;Status/Occupation/Description;Gender;Language
Jonsson;Person Name;7;603;Witness;Male;non
Simon;Person Name;8;603;Witness;Male;non
Kalsson;Person Name;9;603;Witness;Male;non
Ingibiorgh;Person Name;10;603;Landowner;Female;non
Siwgurda;Person Name;11;603;Father of Ingibiorgh;Male;non
Ottæ;Person Name;12;603;Knight;Male;non
Rømer;Person Name;13;603;Knight;Male;non
Galganom;Place Name;14;603;Location;N/A;non
Otta;Person Name;15;603;Knight;Male;non
Bergin;Place Name;16;603;Town/City;N/A;non
Mario;Person Name;17;603;Saint;Male;non
Jons;Person Name;18;603;Saint;Male;non
Eskill;Person Name;1;604;Archbishop;Male;non
Nidaros;Place Name;2;604;Archbishopric seat;N/A;non
Haconar Sigurdz;Person Name;3;604;Nobleman;Male;non
Sennione;Place Name;4;604;Location;N/A;non
Trumpsar;Place Name;5;604;Church parish;N/A;non
Titeke;Person Name;6;604;Individual;Male;non
Haconar Sigurdzsonar;Person Name;7;604;Nobleman;Male;non
Haconar;Person Name;8;604;Nobleman;Male;non
Hacone;Person Name;9;604;Nobleman;Male;non
Berguin;Place Name;10;604;Town/City;N/A;non
Bartholomei;Person Name;11;604;Apostle;Male;lat
Hacon Sigurdarson;Person Name;1;605;Landowner;Male;non
Eskille;Person Name;2;605;Archbishop;Male;non
Nidarose;Place Name;3;605;City;N/A;non
Senione;Place Name;4;605;Location;N/A;non
Trumpsar;Place Name;5;605;Church parish;N/A;non
Titeke;Person Name;6;605;Person;Male;non
Erlender Philippusson;Person Name;7;605;Lawman;Male;non
Einar Eindridzson;Person Name;8;605;Lawman;Male;non
Gulaþings;Place Name;9;605;Legal assembly location;N/A;non
Berguinar;Place Name;10;605;Location;N/A;non
Berghuin;Place Name;11;605;City;N/A;non
Bartholomej;Person Name;12;605;Saint;Male;non
Iesu Christi;Person Name;13;605;Jesus Christ;Male;non
Eiriks;Person Name;14;605;King;Male;non
Noreghs;Place Name;15;605;Kingdom (Norway);N/A;non
Jon Nikulasson;Person Name;1;606;Witness/Legal representative;Male;non
Dufnalldur Haralldsson;Person Name;2;606;Witness/Legal representative;Male;non
Setri;Place Name;3;606;Location;N/A;non
Hiatlandi;Place Name;4;606;Region (Shetland);N/A;non
Ragnilld Hauards dotter;Person Name;5;606;Mother/Legal guardian;Female;non
Magnus;Person Name;6;606;Son/Heir;Male;non
Gudrunu Siughrdar dottur;Person Name;7;606;Deceased property owner;Female;non
Husawik;Place Name;8;606;Location;N/A;non
Þorndur Dagfinsson;Person Name;9;606;Legal witness/Representative;Male;non
Magnus;Person Name;10;606;Son/Heir;Male;non
Feræyum;Place Name;11;606;Region (Faroe Islands);N/A;non
Gudrunu Siurdar dottur;Person Name;12;606;Deceased property owner;Female;non
Husavik;Place Name;13;606;Location;N/A;non
Magnusi;Person Name;14;606;Son/Heir;Male;non
Magnus;Person Name;15;606;Son/Heir;Male;non
Þrondur;Person Name;16;606;Legal witness/Representative;Male;non
Þrondr;Person Name;17;606;Legal witness/Representative;Male;non
Ragnilldi;Person Name;18;606;Mother/Legal guardian;Female;non
Rag(n)illd;Person Name;19;606;Mother/Legal guardian;Female;non
Þrondar;Person Name;20;606;Legal witness/Representative;Male;non
Þrondur;Person Name;21;606;Legal witness/Representative;Male;non
Magnus;Person Name;22;606;Son/Heir;Male;non
Magnusi;Person Name;23;606;Son/Heir;Male;non
Vindasi;Place Name;24;606;Location;N/A;non
Gudbrandur Magnusson;Person Name;1;607;Parish priest;Male;non
Iala;Place Name;2;607;Parish location;N/A;non
Hiatlandi;Place Name;3;607;Region (Shetland);N/A;non
Suein Markusson;Person Name;4;607;Lawman;Male;non
Jon Haraldsson;Person Name;5;607;Legal official;Male;non
Hiatlandi;Place Name;6;607;Region (Shetland);N/A;non
Hragnilld Hauards dottir;Person Name;7;607;Woman mentioned in legal context;Female;non
Þrondr Dagfinsson;Person Name;8;607;Landowner;Male;non
Vindas;Place Name;9;607;Location;N/A;non
Papiliu;Place Name;10;607;Location;N/A;non
Marteins;Person Name;11;607;Saint Martin;Male;non
Andres Giurdsson;Person Name;1;608;Landowner;Male;non
Germund Torgeirsson;Person Name;2;608;Landowner;Male;non
Skiardeberg;Place Name;3;608;Location;N/A;non
Tiødelings;Place Name;4;608;Parish;N/A;non
Vestfolden;Place Name;5;608;Region;N/A;non
Skardæberge;Place Name;6;608;Location;N/A;non
Andresæ;Person Name;7;608;Landowner;Male;non
Jon Nielsson;Person Name;8;608;Legal witness;Male;non
Anders Eleefsson;Person Name;9;608;Legal witness;Male;non
Owlin;Place Name;10;608;Location;N/A;non
Berghulfuer Læidulfsson;Person Name;1;609;Legal representative;Male;non
Biorn Olfuirson;Person Name;2;609;Legal representative;Male;non
Þorbion Þorbiornesson;Person Name;3;609;Legal representative;Male;non
Þælamark;Place Name;4;609;Region;N/A;non
trinitatis;Religious Term;5;609;Trinity feast day;N/A;non
Grafua;Place Name;6;609;Farm/Estate;N/A;non
Nissedale;Place Name;7;609;Parish;N/A;non
Þælamark;Place Name;8;609;Region;N/A;non
Erikx;Person Name;9;609;King of Norway;Male;non
Noregx;Place Name;10;609;Kingdom (Norway);N/A;non
Hiarrander Olafsson;Person Name;11;609;Party to legal agreement;Male;non
Þorgeire Haluardssyni;Person Name;12;609;Party to legal dispute;Male;non
Helleike Olafsyni;Person Name;13;609;Victim of harm;Male;non
Fokke Þolleifssyni;Person Name;14;609;Accomplice;Male;non
Þorgeire;Person Name;15;609;Party to legal dispute;Male;non
Helleik;Person Name;16;609;Victim of harm;Male;non
Hiarrander;Person Name;17;609;Party to legal agreement;Male;non
Þorgæir;Person Name;18;609;Party to legal dispute;Male;non
Fookka;Person Name;19;609;Accomplice;Male;non
Þolleifui Lidhuordsson;Person Name;20;609;Participant in raid;Male;non
Þolleifue Helgasson;Person Name;21;609;Participant in raid;Male;non
Helleiks Olafssonar;Person Name;22;609;Deceased victim;Male;non
Eiuinder Paalssun;Person Name;1;610;Legal witness;Male;non
Ommunder Þordersun;Person Name;2;610;Legal witness;Male;non
Birride;Place Name;3;610;Location;N/A;non
Eirigs Leikssunar;Person Name;4;610;Landowner;Male;non
Swnnifue Olefsdotor;Person Name;5;610;Property recipient;Female;non
Eiriker;Person Name;6;610;Landowner;Male;non
Swnnifue;Person Name;7;610;Property recipient;Female;non
Seeeime;Place Name;8;610;Location;N/A;non
Birride;Place Name;9;610;Location;N/A;non
Eirigs;Person Name;10;610;King of Norway;Male;non
gudz;Person Name;11;610;God;Male;non
Noriges;Place Name;12;610;Kingdom (Norway);N/A;non
