Proper Noun;Type of Proper Noun;Order of Occurrence in Doc;Brevid;Status/Occupation/Description;Gender;Language
Sennione;Place Name;4;604;Location;N/A;non
Trumpsar;Place Name;5;604;Location;N/A;non
Titeke;Person Name;6;604;Inheritor;Female;non
Haconar Sigurdzsonar;Person Name;7;604;Son;Male;non
Haconar;Person Name;8;604;Landowner;Male;non
Hacone;Person Name;9;604;Inheritor;Male;non
Berguin;Place Name;10;604;Town/City;N/A;non
Hacon Sigurdarson;Person Name;1;605;Landowner;Male;non
Eskille;Person Name;2;605;Archbishop;Male;non
Nidarose;Place Name;3;605;City;N/A;non
Senione;Place Name;4;605;Location;N/A;non
Trumpsar kirkiu;Place Name;5;605;Church;N/A;non
Erlender Philippusson;Person Name;6;605;Witness;Male;non
Einar Eindridzson Gulaþings;Person Name;7;605;Witness;Male;non
Berguinar laghman;Person Name;8;605;Official;Male;non
Berghuin;Place Name;9;605;Town/City;N/A;non
Bartholomej messo dagh;Date;10;605;Date;N/A;non
Iesu Christi;Person Name;11;605;Religious Figure;Male;non
Eiriks;Person Name;12;605;King;Male;non
Noreghs;Place Name;13;605;Kingdom (Noreghs);N/A;non
Ollum;Person Name;1;606;Addressee;Male;non
Jon Nikulasson Dufnalldur;Person Name;2;606;Sender;Male;non
Haralldsson;Person Name;3;606;Sender;Male;non
Setri;Place Name;4;606;Location;N/A;non
Hiatlandi;Place Name;5;606;Location;N/A;non
Ragnilld;Person Name;6;606;Landowner;Female;non
Magnus;Person Name;7;606;Son;Male;non
Gudrunu;Person Name;8;606;Deceased;Female;non
Husawik;Place Name;9;606;Town/City;N/A;non
Þorndur;Person Name;10;606;Suitor;Male;non
Magnus;Person Name;11;606;Son;Male;non
Feræyum;Place Name;12;606;Location;N/A;non
Gudrunu;Person Name;13;606;Deceased;Female;non
Husawik;Place Name;14;606;Town/City;N/A;non
Magnusi;Person Name;15;606;Representative;Male;non
Þrondur;Person Name;16;606;Claimant;Male;non
Þrondr;Person Name;17;606;Claimant;Male;non
Ragnilldi;Person Name;18;606;Landowner;Female;non
Rag(n)illd;Person Name;19;606;Landowner;Female;non
Þrondar;Person Name;20;606;Claimant;Male;non
Magnus;Person Name;21;606;Son;Male;non
Þrondur;Person Name;22;606;Claimant;Male;non
Magnus;Person Name;23;606;Son;Male;non
Þrondur;Person Name;24;606;Claimant;Male;non
Vindasi;Place Name;25;606;Location;N/A;non
Ollum;Person Name;1;607;Addressee;Male;non
Gudbrandur Magnusson;Person Name;2;607;Priest;Male;non
Iala;Place Name;3;607;Location;N/A;non
Hiatlandi;Place Name;4;607;Region;N/A;non
Suein Markusson;Person Name;5;607;Logman;Male;non
Jon Haraldsson;Person Name;6;607;Loghrætta;Male;non
Hiatlandi;Place Name;7;607;Region;N/A;non
Hragnilld Hauards;Person Name;8;607;Woman;Female;non
Þrondr Dagfinsson;Person Name;9;607;Man;Male;non
Vindas;Place Name;10;607;Town/City;N/A;non
Papiliu;Place Name;11;607;Location;N/A;non
Andres Giurdsson;Person Name;1;608;Landowner;Male;non
Germund Torgeirsson;Person Name;2;608;Person;Male;non
Skiardeberg;Place Name;3;608;Location;N/A;non
Skardæberge;Place Name;4;608;Location;N/A;non
Andresæ;Person Name;5;608;Landowner;Male;non
Jon Nielsson;Person Name;6;608;Person;Male;non
Anders Eleefsson;Person Name;7;608;Person;Male;non
Berghulfuer;Person Name;1;609;Landowner;Male;non
Læidulfsson;Person Name;2;609;Family Name;Male;non
Biorn;Person Name;3;609;Landowner;Male;non
Olfuirson;Person Name;4;609;Family Name;Male;non
Þorbion;Person Name;5;609;Lawman;Male;non
Þorbiornesson;Person Name;6;609;Family Name;Male;non
Þælamark;Place Name;7;609;Region;N/A;non
Nissedale;Place Name;8;609;Location;N/A;non
Þælamark;Place Name;9;609;Region;N/A;non
Erikx;Person Name;10;609;King;Male;non
Noregx;Place Name;11;609;Kingdom (Norway);N/A;non
Hiarrander;Person Name;12;609;Accused;Male;non
Olafsson;Person Name;13;609;Family Name;Male;non
Þorgeire;Person Name;14;609;Accused;Male;non
Haluardssyni;Person Name;15;609;Family Name;Male;non
Helleike;Person Name;16;609;Victim;Male;non
Olafsyni;Person Name;17;609;Family Name;Male;non
Fokke;Person Name;18;609;Accused;Male;non
Þolleifssyni;Person Name;19;609;Family Name;Male;non
Þorgæir;Person Name;20;609;Accused;Male;non
Fookka;Person Name;21;609;Accused;Male;non
Þolleifui;Person Name;22;609;Witness;Male;non
Lidhuordsson;Person Name;23;609;Family Name;Male;non
Þolleifue;Person Name;24;609;Witness;Female;non
Helgasson;Person Name;25;609;Family Name;Male;non
Helleiks;Person Name;26;609;Victim;Male;non
Olafssonar;Person Name;27;609;Family Name;Male;non
Eiuinder Paalssun;Person Name;1;610;Landowner;Male;non
Ommunder Þordersun;Person Name;2;610;Landowner;Male;non
Birride;Place Name;3;610;Location;N/A;non
Birride;Place Name;4;610;Location;N/A;non
Eirigs Leikssunar;Person Name;5;610;Father;Male;non
Swnnifue Olefsdotor;Person Name;6;610;Woman;Female;non
Seeeime;Place Name;7;610;Location;N/A;non
Birride;Place Name;8;610;Location;N/A;non
Eirigs;Person Name;9;610;King;Male;non
Noriges;Kingdom Name;10;610;Kingdom of Norway;N/A;non
